Instrument,Bottle,FlaskVol,RawTitre,Titre20,O2ml/L,ThioTemp,DrawTemp,EndVolts,TitreTime,O2µmol/L
New B,210,143.84,0.78354,0.78332,6.208,21.38,21.5,2.32,145535,277.3895
New B,211,144.58,0.78712,0.78686,6.204,21.6,21.5,2.327,145744,277.2108
New B,214,146.67,0.79938,0.7991,6.21,21.7,21.5,2.344,150012,277.4788
New B,216,144.35,0.7857,0.78541,6.203,21.77,21.5,2.306,150236,277.1662
New B,217,141.62,0.77087,0.77058,6.204,21.83,21.5,2.287,150440,277.2108
New B,218,141.66,0.77071,0.77042,6.201,21.81,21.5,2.321,150703,277.0768
New B,221,146.52,0.79666,0.79635,6.195,21.85,21.5,2.405,151434,276.8089
New B,231,141.95,0.77225,0.77195,6.201,21.85,21.5,2.294,151941,277.0768
New B,233,142.98,0.77765,0.77735,6.198,21.92,21.5,2.289,152419,276.9875
New B,235,145.11,0.78918,0.78886,6.197,21.92,21.5,2.281,152629,276.8982
New B,240,147.84,0.8039,0.80357,6.195,21.95,21.5,2.328,153009,276.8089
New B,241,146.01,0.79452,0.7942,6.2,21.92,21.5,2.288,153225,277.0322
