Instrument,Bottle,FlaskVol,RawTitre,Titre20,O2ml/L,ThioTemp,DrawTemp,EndVolts,TitreTime,O2µmol/L,RP
New A,161,144.68,0.4436,0.44343,4.195,21.84,7,2.074,232544,187.2636,5
New A,167,144.39,0.44349,0.44331,4.202,21.88,7.4,2.132,232834,187.6209,5
New A,211,144.58,0.44272,0.44254,4.189,21.95,7.2,2.137,233205,187.0403,6
New A,217,141.62,0.43344,0.43327,4.188,21.94,7.7,2.083,233501,186.9956,6
New B,162,145.5,0.53636,0.53638,4.199,19.81,7.2,2.27,233544,187.5762,5
New B,175,146.1,0.54039,0.54022,4.211,21.58,7.6,2.166,234042,188.1568,5
New B,214,146.67,0.54016,0.53998,4.193,21.56,7.4,2.297,234257,187.3082,6
New B,218,141.66,0.52141,0.52126,4.192,21.44,7.8,2.145,234625,187.3082,6
Old,158,143.57,0.48494,0.48472,4.197,22.17,6.8,2.152,132247,187.5315,5
Old,166,143.03,0.48504,0.48482,4.214,22.13,7.3,2.197,132616,188.2908,5
Old,210,143.84,0.48485,0.48464,4.188,22.09,6.9,2.162,132953,187.1296,6
Old,216,144.35,0.48701,0.48679,4.192,22.14,7.6,2.221,133301,187.3082,6
