Instrument,Bottle,FlaskVol,RawTitre,Titre20,O2ml/L,ThioTemp,DrawTemp,EndVolts,TitreTime,O2µmol/L,RP
New A,143,145.25,0.44525,0.44526,4.195,19.88,6.7,2.423,162322,187.3082,4
New A,144,146.25,0.44776,0.44777,4.19,19.84,6.9,2.471,162637,187.0403,4
New A,148,143.04,0.43883,0.43884,4.199,19.9,7.1,2.405,163229,187.4869,4
New A,150,140.86,0.43107,0.43108,4.189,19.84,7.2,2.389,163558,187.0403,4
New A,152,145.03,0.44393,0.44395,4.189,19.82,7.4,2.393,163904,187.0403,4
New A,156,142.67,0.43718,0.4372,4.195,19.82,7.6,2.399,164211,187.2636,4
New B,221,146.52,0.53899,0.53901,4.19,19.81,7.1,2.305,164508,187.1743,7
New B,231,141.95,0.52229,0.52232,4.192,19.63,7.3,2.309,164716,187.3082,7
New B,233,142.98,0.52634,0.52637,4.194,19.73,7.5,2.32,164903,187.3529,7
New B,235,145.11,0.53419,0.53422,4.193,19.75,7.7,2.332,165050,187.3529,7
New B,240,147.84,0.5426,0.54263,4.18,19.77,7.8,2.024,165217,186.7276,7
New B,241,146.01,0.53776,0.53779,4.195,19.76,8,2.315,165437,187.3976,7
Old,115,145.47,0.4906,0.49062,4.192,19.71,6.5,2.424,62054,187.3082,3
Old,116,146.09,0.492,0.49203,4.186,19.7,6.7,2.447,62534,187.0403,3
Old,136,145.68,0.49086,0.4909,4.188,19.64,6.9,2.379,62906,187.1296,3
Old,137,144.16,0.48585,0.48588,4.19,19.69,7.1,2.368,63315,187.2189,3
Old,140,142.73,0.48078,0.48081,4.188,19.68,7.2,2.356,63625,187.1296,3
Old,141,146.14,0.49274,0.49277,4.191,19.64,7.4,2.334,63956,187.2636,3
