Instrument,Bottle,FlaskVol,RawTitre,Titre20,O2ml/L,ThioTemp,DrawTemp,EndVolts,TitreTime,O2µmol/L,RP
New A,675,135.77,0.41383,0.41379,4.174,20.46,6.3,2.085,5547,186.3257,2
New A,678,139.77,0.42626,0.42625,4.175,20.12,6.3,2.443,5948,186.415,5
New A,681,141.76,0.43149,0.43148,4.166,20.18,6.5,2.452,10147,186.0131,8
New A,684,138.61,0.42143,0.42141,4.163,20.24,6.5,2.407,10343,185.8344,11
New A,687,141.65,0.43127,0.43125,4.167,20.27,6.5,2.439,10624,186.0577,14
New A,690,139.48,0.42449,0.42447,4.166,20.23,6.5,2.402,10821,186.0131,17
New A,693,138.12,0.41993,0.41992,4.162,20.23,6.8,2.394,11226,185.8344,20
New A,696,138.45,0.4206,0.42058,4.159,20.22,6.9,2.366,11435,185.7004,23
New B,676,140.16,0.51269,0.51265,4.168,20.44,6.2,2.266,4009,186.1917,3
New B,679,139.03,0.50887,0.50883,4.171,20.37,6.4,2.244,4201,186.3257,6
New B,682,137.84,0.50417,0.50413,4.168,20.36,6.5,2.22,4341,186.2364,9
New B,685,140.16,0.51257,0.51253,4.167,20.33,6.5,2.249,4549,186.147,12
New B,688,138.01,0.50488,0.50485,4.169,20.33,6.6,2.225,4737,186.2364,15
New B,691,136.83,0.50023,0.50019,4.167,20.35,6.7,2.195,4923,186.147,18
New B,694,139.65,0.51097,0.51094,4.169,20.35,6.8,2.151,5111,186.281,21
New B,698,142.88,0.52187,0.52183,4.161,20.35,7,2.17,5252,185.8791,24
Old,674,142.13,0.47888,0.47885,4.188,20.39,6.2,2.175,151506,187.1743,1
Old,677,134.73,0.45146,0.4515,4.168,19.61,6.2,2.479,152025,186.281,4
Old,680,138.52,0.46446,0.46448,4.17,19.81,6.4,2.565,152248,186.3257,7
Old,683,140.22,0.47077,0.47078,4.175,19.88,6.5,2.522,152535,186.549,10
Old,686,140.82,0.47607,0.47608,4.203,19.88,6.5,2.493,152800,187.8442,13
Old,689,138.41,0.4635,0.46352,4.164,19.88,6.5,2.5,153059,186.1024,16
Old,692,143.36,0.48023,0.48025,4.164,19.85,6.7,2.545,153326,186.0577,19
Old,695,141.38,0.47386,0.47387,4.167,19.91,6.9,2.535,153549,186.1917,22
