Instrument,Bottle,FlaskVol,RawTitre,Titre20,O2ml/L,ThioTemp,DrawTemp,EndVolts,TitreTime,O2µmol/L
New A,200,142.19,0.51524,0.51529,4.964,19.46,20,2.45,155700,221.5632
New A,200,142.19,0.51495,0.51496,4.96,19.86,20,2.412,160520,221.4292
New A,200,142.19,0.51513,0.51514,4.962,19.86,20,2.427,161045,221.5186
New A,200,142.19,0.51485,0.51486,4.959,19.91,20,2.424,161648,221.3846
New B,200,142.19,0.6187,0.61877,4.96,19.4,20,2.358,160025,221.5632
New B,200,142.19,0.61856,0.61857,4.958,19.87,20,2.321,160717,221.5186
New B,200,142.19,0.61846,0.61847,4.958,19.9,20,2.343,161044,221.4739
New B,200,142.19,0.62044,0.62046,4.974,19.87,20,2.299,161804,222.1885
Old,200,142.19,0.56706,0.5671,4.961,19.58,20,2.401,55138,221.6525
Old,200,142.19,0.56682,0.56686,4.959,19.68,20,2.389,55840,221.5632
Old,200,142.19,0.56665,0.56668,4.958,19.73,20,2.411,60641,221.5186
Old,200,142.19,0.56722,0.56725,4.963,19.78,20,2.306,61307,221.7419
