Instrument,Bottle,FlaskVol,RawTitre,Titre20,O2ml/L,ThioTemp,DrawTemp,EndVolts,TitreTime,O2µmol/L,RP,Pressure
New A,278,142.48,0.59621,0.59623,5.734,19.83,14,2.282,201954,255.9969,24,5
New A,276,140.04,0.58568,0.58551,5.73,21.38,14.1,2.276,202345,255.8182,23,5
New A,627,145.6,0.60911,0.60893,5.729,21.45,14.1,2.299,202606,255.7735,22,5
New A,625,143.75,0.60031,0.60012,5.72,21.51,13.9,2.292,203001,255.3716,21,40
New A,623,140.11,0.58475,0.58456,5.718,21.53,13.9,2.258,205345,255.2823,20,40
New A,621,145.22,0.60636,0.60616,5.718,21.59,14,2.274,210959,255.2823,19,40
New A,618,140.77,0.58067,0.58047,5.651,21.67,13.5,2.208,224922,252.29,18,100
New A,615,142.36,0.58709,0.58691,5.649,21.51,13.4,2.217,225229,252.2007,17,100
New A,612,141.13,0.56088,0.5607,5.444,21.59,12.9,2.186,225452,243.0452,16,200
New A,609,137.01,0.54432,0.54414,5.444,21.6,12.8,2.182,225809,243.0452,15,200
New A,607,143.71,0.56167,0.56148,5.352,21.62,10.7,2.209,230107,238.9364,14,400
New A,605,143.85,0.56179,0.56159,5.348,21.69,10.7,2.249,230730,238.7577,13,400
New A,602,139.95,0.48346,0.48329,4.73,21.7,9.8,2.177,230911,211.1572,12,600
New A,600,143.75,0.49433,0.49415,4.707,21.74,9.8,2.178,231149,210.13,11,600
New A,255,139.13,0.45147,0.45131,4.442,21.8,8.4,2.108,231541,198.3395,10,800
New A,251,140.8,0.46273,0.46255,4.499,21.84,8.4,2.172,231840,200.8405,9,800
New A,243,146.28,0.47459,0.47441,4.439,21.84,8.5,2.153,232144,198.1609,8,800
Old,277,137.35,0.63262,0.63267,5.735,19.6,13.9,2.304,101651,256.2648,24,5
Old,275,139.68,0.6429,0.64268,5.728,21.61,14.1,2.283,102302,255.9075,23,5
Old,626,142.29,0.65593,0.65568,5.735,21.79,14.1,2.313,102638,256.2648,22,5
Old,624,142.71,0.65547,0.65521,5.714,21.92,13.9,2.315,103021,255.2823,21,40
Old,622,142.52,0.65591,0.65565,5.725,21.95,13.8,2.285,105514,255.8182,20,40
Old,620,144.38,0.66355,0.66329,5.717,21.88,13.9,2.269,111137,255.4163,19,40
Old,616,145.91,0.6622,0.66194,5.644,21.84,13.4,2.325,124719,252.2007,18,100
Old,614,139.1,0.63091,0.63068,5.644,21.72,13.4,2.253,125006,252.2007,17,100
Old,610,141.81,0.62048,0.62024,5.443,21.83,12.9,2.274,125232,243.1791,16,200
Old,608,146.27,0.63982,0.63958,5.44,21.82,12.8,2.244,125549,243.0452,15,200
Old,606,142.96,0.61475,0.61451,5.348,21.83,10.6,2.295,125819,238.981,14,400
Old,604,143.25,0.61558,0.61532,5.344,22.01,10.6,2.285,130200,238.8024,13,400
Old,601,143.7,0.54689,0.54666,4.731,22.02,9.6,2.283,130508,211.3805,12,600
Old,599,145.46,0.55054,0.55031,4.704,22,9.6,2.243,130937,210.2193,11,600
Old,253,136.54,0.48719,0.48697,4.437,22.1,8.2,2.17,131324,198.2502,10,800
Old,250,138.2,0.49852,0.49831,4.485,22.05,8.3,2.229,131607,200.3939,9,800
Old,242,145.63,0.52001,0.51978,4.437,22.05,8.3,2.207,131912,198.2502,8,800
New A,143,145.25,0.44525,0.44526,4.195,19.88,6.7,2.423,162322,187.3082,4,1000
New A,144,146.25,0.44776,0.44777,4.19,19.84,6.9,2.471,162637,187.0403,4,1000
New A,148,143.04,0.43883,0.43884,4.199,19.9,7.1,2.405,163229,187.4869,4,1000
New A,150,140.86,0.43107,0.43108,4.189,19.84,7.2,2.389,163558,187.0403,4,1000
New A,152,145.03,0.44393,0.44395,4.189,19.82,7.4,2.393,163904,187.0403,4,1000
New A,156,142.67,0.43718,0.4372,4.195,19.82,7.6,2.399,164211,187.2636,4,1000
Old,115,145.47,0.4906,0.49062,4.192,19.71,6.5,2.424,62054,187.3082,3,1000
Old,116,146.09,0.492,0.49203,4.186,19.7,6.7,2.447,62534,187.0403,3,1000
Old,136,145.68,0.49086,0.4909,4.188,19.64,6.9,2.379,62906,187.1296,3,1000
Old,137,144.16,0.48585,0.48588,4.19,19.69,7.1,2.368,63315,187.2189,3,1000
Old,140,142.73,0.48078,0.48081,4.188,19.68,7.2,2.356,63625,187.1296,3,1000
Old,141,146.14,0.49274,0.49277,4.191,19.64,7.4,2.334,63956,187.2636,3,1000
